Trading date,open,close,high,low,volume
1928-12-14,22.53,22.53,22.53,22.53,0.0
1928-12-17,22.44,22.44,22.44,22.44,0.0
1928-12-18,22.7,22.7,22.7,22.7,0.0
1928-12-19,22.98,22.98,22.98,22.98,0.0
1928-12-20,23.07,23.07,23.07,23.07,0.0
1928-12-21,23.33,23.33,23.33,23.33,0.0
1928-12-24,23.54,23.54,23.54,23.54,0.0
1928-12-26,23.44,23.44,23.44,23.44,0.0
1928-12-27,23.64,23.64,23.64,23.64,0.0
1928-12-28,23.98,23.98,23.98,23.98,0.0
1928-12-31,24.35,24.35,24.35,24.35,0.0
1929-01-02,24.81,24.81,24.81,24.81,0.0
1929-01-03,24.86,24.86,24.86,24.86,0.0
1929-01-04,24.85,24.85,24.85,24.85,0.0
1929-01-07,24.25,24.25,24.25,24.25,0.0
1929-01-08,24.17,24.17,24.17,24.17,0.0
1929-01-09,24.54,24.54,24.54,24.54,0.0
1929-01-10,24.58,24.58,24.58,24.58,0.0
1929-01-11,24.54,24.54,24.54,24.54,0.0
1929-01-14,24.59,24.59,24.59,24.59,0.0
1929-01-15,24.23,24.23,24.23,24.23,0.0
1929-01-16,24.56,24.56,24.56,24.56,0.0
1929-01-17,24.69,24.69,24.69,24.69,0.0
1929-01-18,24.77,24.77,24.77,24.77,0.0
1929-01-21,24.86,24.86,24.86,24.86,0.0
1929-01-22,25.07,25.07,25.07,25.07,0.0
1929-01-23,25.22,25.22,25.22,25.22,0.0
1929-01-24,25.06,25.06,25.06,25.06,0.0
1929-01-25,25.48,25.48,25.48,25.48,0.0
1929-01-28,25.35,25.35,25.35,25.35,0.0
1929-01-29,25.36,25.36,25.36,25.36,0.0
1929-01-30,25.45,25.45,25.45,25.45,0.0
1929-01-31,25.74,25.74,25.74,25.74,0.0
1929-02-01,25.84,25.84,25.84,25.84,0.0
1929-02-04,25.64,25.64,25.64,25.64,0.0
1929-02-05,25.7,25.7,25.7,25.7,0.0
1929-02-06,25.49,25.49,25.49,25.49,0.0
1929-02-07,24.71,24.71,24.71,24.71,0.0
1929-02-08,24.44,24.44,24.44,24.44,0.0
1929-02-11,24.98,24.98,24.98,24.98,0.0
1929-02-13,24.95,24.95,24.95,24.95,0.0
1929-02-14,24.85,24.85,24.85,24.85,0.0
1929-02-15,24.35,24.35,24.35,24.35,0.0
1929-02-18,24.39,24.39,24.39,24.39,0.0
1929-02-19,24.38,24.38,24.38,24.38,0.0
1929-02-20,24.59,24.59,24.59,24.59,0.0
1929-02-21,24.86,24.86,24.86,24.86,0.0
1929-02-25,24.91,24.91,24.91,24.91,0.0
1929-02-26,24.95,24.95,24.95,24.95,0.0
1929-02-27,25.25,25.25,25.25,25.25,0.0
1929-02-28,25.59,25.59,25.59,25.59,0.0
1929-03-01,25.83,25.83,25.83,25.83,0.0
1929-03-04,25.49,25.49,25.49,25.49,0.0
1929-03-05,25.32,25.32,25.32,25.32,0.0
1929-03-06,24.92,24.92,24.92,24.92,0.0
1929-03-07,25.15,25.15,25.15,25.15,0.0
1929-03-08,25.31,25.31,25.31,25.31,0.0
1929-03-11,24.95,24.95,24.95,24.95,0.0
1929-03-12,24.97,24.97,24.97,24.97,0.0
1929-03-13,25.24,25.24,25.24,25.24,0.0
1929-03-14,25.73,25.73,25.73,25.73,0.0
1929-03-15,26.08,26.08,26.08,26.08,0.0
1929-03-18,26.04,26.04,26.04,26.04,0.0
1929-03-19,26.03,26.03,26.03,26.03,0.0
1929-03-20,26.02,26.02,26.02,26.02,0.0
1929-03-21,25.9,25.9,25.9,25.9,0.0
1929-03-22,25.55,25.55,25.55,25.55,0.0
1929-03-25,24.51,24.51,24.51,24.51,0.0
1929-03-26,24.35,24.35,24.35,24.35,0.0
1929-03-27,25.09,25.09,25.09,25.09,0.0
1929-03-28,25.53,25.53,25.53,25.53,0.0
1929-04-01,24.88,24.88,24.88,24.88,0.0
1929-04-02,25.17,25.17,25.17,25.17,0.0
1929-04-03,24.86,24.86,24.86,24.86,0.0
1929-04-04,25.3,25.3,25.3,25.3,0.0
1929-04-05,25.05,25.05,25.05,25.05,0.0
1929-04-08,24.83,24.83,24.83,24.83,0.0
1929-04-09,24.63,24.63,24.63,24.63,0.0
1929-04-10,24.78,24.78,24.78,24.78,0.0
1929-04-11,25.06,25.06,25.06,25.06,0.0
1929-04-12,25.15,25.15,25.15,25.15,0.0
1929-04-15,25.0,25.0,25.0,25.0,0.0
1929-04-16,25.06,25.06,25.06,25.06,0.0
1929-04-17,25.32,25.32,25.32,25.32,0.0
1929-04-18,25.43,25.43,25.43,25.43,0.0
1929-04-19,25.41,25.41,25.41,25.41,0.0
1929-04-22,25.7,25.7,25.7,25.7,0.0
1929-04-23,25.85,25.85,25.85,25.85,0.0
1929-04-24,25.75,25.75,25.75,25.75,0.0
1929-04-25,25.63,25.63,25.63,25.63,0.0
1929-04-26,25.58,25.58,25.58,25.58,0.0
1929-04-29,25.53,25.53,25.53,25.53,0.0
1929-04-30,25.94,25.94,25.94,25.94,0.0
1929-05-01,25.99,25.99,25.99,25.99,0.0
1929-05-02,26.11,26.11,26.11,26.11,0.0
1929-05-03,26.37,26.37,26.37,26.37,0.0
1929-05-06,26.32,26.32,26.32,26.32,0.0
1929-05-07,26.07,26.07,26.07,26.07,0.0
1929-05-08,26.18,26.18,26.18,26.18,0.0
1929-05-09,26.02,26.02,26.02,26.02,0.0
1929-05-10,26.34,26.34,26.34,26.34,0.0
1929-05-13,25.64,25.64,25.64,25.64,0.0
1929-05-14,25.95,25.95,25.95,25.95,0.0
1929-05-15,25.84,25.84,25.84,25.84,0.0
1929-05-16,25.97,25.97,25.97,25.97,0.0
1929-05-17,26.09,26.09,26.09,26.09,0.0
1929-05-20,25.39,25.39,25.39,25.39,0.0
1929-05-21,25.7,25.7,25.7,25.7,0.0
1929-05-22,24.76,24.76,24.76,24.76,0.0
1929-05-23,25.31,25.31,25.31,25.31,0.0
1929-05-24,25.12,25.12,25.12,25.12,0.0
1929-05-27,24.2,24.2,24.2,24.2,0.0
1929-05-28,24.59,24.59,24.59,24.59,0.0
1929-05-29,24.62,24.62,24.62,24.62,0.0
1929-05-31,24.83,24.83,24.83,24.83,0.0
1929-06-03,25.27,25.27,25.27,25.27,0.0
1929-06-04,25.64,25.64,25.64,25.64,0.0
1929-06-05,25.59,25.59,25.59,25.59,0.0
1929-06-06,25.64,25.64,25.64,25.64,0.0
1929-06-07,25.53,25.53,25.53,25.53,0.0
1929-06-10,25.27,25.27,25.27,25.27,0.0
1929-06-11,25.43,25.43,25.43,25.43,0.0
1929-06-12,25.45,25.45,25.45,25.45,0.0
1929-06-13,25.84,25.84,25.84,25.84,0.0
1929-06-14,25.93,25.93,25.93,25.93,0.0
1929-06-17,26.41,26.41,26.41,26.41,0.0
1929-06-18,26.42,26.42,26.42,26.42,0.0
1929-06-19,26.32,26.32,26.32,26.32,0.0
1929-06-20,26.47,26.47,26.47,26.47,0.0
1929-06-21,26.62,26.62,26.62,26.62,0.0
1929-06-24,26.62,26.62,26.62,26.62,0.0
1929-06-25,26.9,26.9,26.9,26.9,0.0
1929-06-26,27.06,27.06,27.06,27.06,0.0
1929-06-27,27.11,27.11,27.11,27.11,0.0
1929-06-28,27.41,27.41,27.41,27.41,0.0
1929-07-01,27.77,27.77,27.77,27.77,0.0
1929-07-02,28.06,28.06,28.06,28.06,0.0
1929-07-03,28.18,28.18,28.18,28.18,0.0
1929-07-05,28.32,28.32,28.32,28.32,0.0
1929-07-08,28.37,28.37,28.37,28.37,0.0
1929-07-09,28.28,28.28,28.28,28.28,0.0
1929-07-10,28.2,28.2,28.2,28.2,0.0
1929-07-11,28.26,28.26,28.26,28.26,0.0
1929-07-12,28.57,28.57,28.57,28.57,0.0
1929-07-15,28.45,28.45,28.45,28.45,0.0
1929-07-16,28.65,28.65,28.65,28.65,0.0
1929-07-17,28.72,28.72,28.72,28.72,0.0
1929-07-18,28.66,28.66,28.66,28.66,0.0
1929-07-19,28.76,28.76,28.76,28.76,0.0
1929-07-22,28.43,28.43,28.43,28.43,0.0
1929-07-23,28.83,28.83,28.83,28.83,0.0
1929-07-24,28.64,28.64,28.64,28.64,0.0
1929-07-25,28.77,28.77,28.77,28.77,0.0
1929-07-26,28.66,28.66,28.66,28.66,0.0
1929-07-29,28.18,28.18,28.18,28.18,0.0
1929-07-30,28.5,28.5,28.5,28.5,0.0
1929-07-31,28.88,28.88,28.88,28.88,0.0
1929-08-01,29.08,29.08,29.08,29.08,0.0
1929-08-02,29.56,29.56,29.56,29.56,0.0
1929-08-05,29.54,29.54,29.54,29.54,0.0
1929-08-06,29.43,29.43,29.43,29.43,0.0
1929-08-07,29.13,29.13,29.13,29.13,0.0
1929-08-08,29.47,29.47,29.47,29.47,0.0
1929-08-09,28.38,28.38,28.38,28.38,0.0
1929-08-12,29.27,29.27,29.27,29.27,0.0
1929-08-13,29.53,29.53,29.53,29.53,0.0
1929-08-14,29.62,29.62,29.62,29.62,0.0
1929-08-15,29.67,29.67,29.67,29.67,0.0
1929-08-16,30.22,30.22,30.22,30.22,0.0
1929-08-19,30.5,30.5,30.5,30.5,0.0
1929-08-20,30.68,30.68,30.68,30.68,0.0
1929-08-21,30.55,30.55,30.55,30.55,0.0
1929-08-22,30.79,30.79,30.79,30.79,0.0
1929-08-23,31.09,31.09,31.09,31.09,0.0
1929-08-26,31.07,31.07,31.07,31.07,0.0
1929-08-27,31.05,31.05,31.05,31.05,0.0
1929-08-28,30.99,30.99,30.99,30.99,0.0
1929-08-29,31.29,31.29,31.29,31.29,0.0
1929-08-30,31.71,31.71,31.71,31.71,0.0
1929-09-03,31.82,31.82,31.82,31.82,0.0
1929-09-04,31.72,31.72,31.72,31.72,0.0
1929-09-05,31.02,31.02,31.02,31.02,0.0
1929-09-06,31.83,31.83,31.83,31.83,0.0
1929-09-09,31.67,31.67,31.67,31.67,0.0
1929-09-10,31.1,31.1,31.1,31.1,0.0
1929-09-11,31.53,31.53,31.53,31.53,0.0
1929-09-12,31.17,31.17,31.17,31.17,0.0
1929-09-13,31.38,31.38,31.38,31.38,0.0
1929-09-16,31.86,31.86,31.86,31.86,0.0
1929-09-17,31.6,31.6,31.6,31.6,0.0
1929-09-18,31.68,31.68,31.68,31.68,0.0
1929-09-19,31.73,31.73,31.73,31.73,0.0
1929-09-20,31.39,31.39,31.39,31.39,0.0
1929-09-23,31.38,31.38,31.38,31.38,0.0
1929-09-24,30.8,30.8,30.8,30.8,0.0
1929-09-25,30.85,30.85,30.85,30.85,0.0
1929-09-26,31.13,31.13,31.13,31.13,0.0
1929-09-27,30.27,30.27,30.27,30.27,0.0
1929-09-30,30.16,30.16,30.16,30.16,0.0
1929-10-01,29.98,29.98,29.98,29.98,0.0
1929-10-02,30.2,30.2,30.2,30.2,0.0
1929-10-03,28.95,28.95,28.95,28.95,0.0
1929-10-04,28.65,28.65,28.65,28.65,0.0
1929-10-07,30.44,30.44,30.44,30.44,0.0
1929-10-08,30.34,30.34,30.34,30.34,0.0
1929-10-09,30.27,30.27,30.27,30.27,0.0
1929-10-10,30.81,30.81,30.81,30.81,0.0
1929-10-11,30.76,30.76,30.76,30.76,0.0
1929-10-14,30.55,30.55,30.55,30.55,0.0
1929-10-15,30.3,30.3,30.3,30.3,0.0
1929-10-16,29.24,29.24,29.24,29.24,0.0
1929-10-17,29.69,29.69,29.69,29.69,0.0
1929-10-18,28.84,28.84,28.84,28.84,0.0
1929-10-21,27.73,27.73,27.73,27.73,0.0
1929-10-22,28.27,28.27,28.27,28.27,0.0
1929-10-23,26.6,26.6,26.6,26.6,0.0
1929-10-24,25.75,25.75,25.75,25.75,0.0
1929-10-25,26.12,26.12,26.12,26.12,0.0
1929-10-28,22.74,22.74,22.74,22.74,0.0
1929-10-29,20.43,20.43,20.43,20.43,0.0
1929-10-30,22.99,22.99,22.99,22.99,0.0
1929-10-31,24.15,24.15,24.15,24.15,0.0
1929-11-04,22.88,22.88,22.88,22.88,0.0
1929-11-06,20.61,20.61,20.61,20.61,0.0
1929-11-07,21.37,21.37,21.37,21.37,0.0
1929-11-08,21.18,21.18,21.18,21.18,0.0
1929-11-11,19.86,19.86,19.86,19.86,0.0
1929-11-12,18.73,18.73,18.73,18.73,0.0
1929-11-13,17.66,17.66,17.66,17.66,0.0
1929-11-14,19.24,19.24,19.24,19.24,0.0
1929-11-15,20.3,20.3,20.3,20.3,0.0
1929-11-18,20.09,20.09,20.09,20.09,0.0
1929-11-19,20.7,20.7,20.7,20.7,0.0
1929-11-20,21.27,21.27,21.27,21.27,0.0
1929-11-21,21.61,21.61,21.61,21.61,0.0
1929-11-22,21.53,21.53,21.53,21.53,0.0
1929-11-25,21.28,21.28,21.28,21.28,0.0
1929-11-26,20.66,20.66,20.66,20.66,0.0
1929-11-27,20.92,20.92,20.92,20.92,0.0
1929-12-02,20.95,20.95,20.95,20.95,0.0
1929-12-03,21.65,21.65,21.65,21.65,0.0
1929-12-04,22.05,22.05,22.05,22.05,0.0
1929-12-05,21.87,21.87,21.87,21.87,0.0
1929-12-06,22.45,22.45,22.45,22.45,0.0
1929-12-09,22.4,22.4,22.4,22.4,0.0
1929-12-10,22.57,22.57,22.57,22.57,0.0
1929-12-11,22.38,22.38,22.38,22.38,0.0
1929-12-12,21.17,21.17,21.17,21.17,0.0
1929-12-13,21.7,21.7,21.7,21.7,0.0
1929-12-16,21.33,21.33,21.33,21.33,0.0
1929-12-17,21.56,21.56,21.56,21.56,0.0
1929-12-18,21.42,21.42,21.42,21.42,0.0
1929-12-19,20.85,20.85,20.85,20.85,0.0
1929-12-20,20.16,20.16,20.16,20.16,0.0
1929-12-23,20.26,20.26,20.26,20.26,0.0
1929-12-24,20.39,20.39,20.39,20.39,0.0
1929-12-26,20.84,20.84,20.84,20.84,0.0
1929-12-27,20.82,20.82,20.82,20.82,0.0
1929-12-30,20.89,20.89,20.89,20.89,0.0
1929-12-31,21.45,21.45,21.45,21.45,0.0
1930-01-02,21.18,21.18,21.18,21.18,0.0
1930-01-03,21.23,21.23,21.23,21.23,0.0
1930-01-06,21.5,21.5,21.5,21.5,0.0
1930-01-07,21.31,21.31,21.31,21.31,0.0
1930-01-08,21.29,21.29,21.29,21.29,0.0
1930-01-09,21.62,21.62,21.62,21.62,0.0
1930-01-10,21.55,21.55,21.55,21.55,0.0
1930-01-13,21.52,21.52,21.52,21.52,0.0
1930-01-14,21.56,21.56,21.56,21.56,0.0
1930-01-15,21.65,21.65,21.65,21.65,0.0
1930-01-16,21.5,21.5,21.5,21.5,0.0
1930-01-17,21.31,21.31,21.31,21.31,0.0
1930-01-20,21.5,21.5,21.5,21.5,0.0
1930-01-21,21.61,21.61,21.61,21.61,0.0
1930-01-22,21.63,21.63,21.63,21.63,0.0
1930-01-23,21.84,21.84,21.84,21.84,0.0
1930-01-24,22.04,22.04,22.04,22.04,0.0
